,SEED,TEAM
0,1,NC State
1,16,Longwood
2,8,Washington State
3,9,Kansas State
4,5,Notre Dame
5,12,UMass
6,4,Oklahoma
7,13,IUPUI
8,6,Kentucky
9,11,Princeton
10,3,Indiana
11,14,Charlotte
12,7,UCF
13,10,Florida
14,2,UConn
15,15,Mercer
16,1,South Carolina
17,16,Howard
18,8,Miami
19,9,South Florida
20,5,UNC
21,12,Stephen F. Austin
22,4,Arizona
23,13,UNLV
24,6,Georgia
25,11,Dayton
26,3,Iowa State
27,14,UT Arlington
28,7,Colorado
29,10,Creighton
30,2,Iowa
31,15,Illinois State
32,1,Stanford
33,16,Montana State
34,8,Kansas
35,9,Georgia Tech
36,5,Virginia Tech
37,12,Florida Gulf Coast
38,4,Maryland
39,13,Delaware
40,6,Ohio State
41,11,Missouri State
42,3,LSU
43,14,Jackson State
44,7,Utah
45,10,Arkansas
46,2,Texas
47,15,Fairfield
48,1,Louisville
49,16,Albany
50,8,Nebraska
51,9,Gonzaga
52,5,Oregon
53,12,Belmont
54,4,Tennessee
55,13,Buffalo
56,6,BYU
57,11,Villanova
58,3,Michigan
59,14,American
60,7,Ole Miss
61,10,South Dakota
62,2,Baylor
63,15,Hawaii
64,1,South Carolina
65,1,Louisville
66,1,Stanford
67,2,UConn
