,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Anriel Howard,40,.673,.727,.091,.455,22.5,30.3,26.0,11.1,2.8,2.8,7.0,16.2,150,107,
1,Danni Williams,40,.311,.100,.500,.600,0.0,6.1,2.7,4.0,0.0,0.0,7.3,15.5,84,123,
2,Chennedy Carter,39,.555,.550,.300,.233,2.6,6.2,4.2,24.3,0.0,0.0,8.3,42.2,125,122,
3,Khaalia Hillsman,29,.438,.250,.000,1.500,6.9,16.7,11.3,5.6,0.0,3.8,31.1,15.2,81,117,
4,Jasmine Lumpkin,29,.233,.000,.000,.600,10.3,29.3,18.9,0.0,3.9,0.0,13.7,11.5,75,106,
6,Kayla Wells,21,.576,.500,.000,.333,9.5,5.8,7.8,0.0,0.0,0.0,0.0,14.9,146,122,
7,Lulu McKinney,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124,
8,Caylinne Martin,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124,
9,School Totals,200,.501,.447,.227,.439,42.5,78.8,58.9,26.9,5.6,5.6,10.1,100.0,112.7,111.3,
